sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"时钟","50","<<HKDevice: 0x1c4a97f70>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-11-22 08:00:29 +0800,2017-11-22 01:54:56 +0800,2017-11-22 08:00:28 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98100>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-11-23 08:00:23 +0800,2017-11-23 01:15:20 +0800,2017-11-23 08:00:23 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a981a0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-11-24 08:00:06 +0800,2017-11-24 01:56:16 +0800,2017-11-24 01:56:20 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a980b0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-11-24 08:00:06 +0800,2017-11-24 02:13:48 +0800,2017-11-24 02:26:04 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98240>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-11-24 08:00:06 +0800,2017-11-24 02:40:48 +0800,2017-11-24 02:41:12 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98150>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-11-24 08:00:06 +0800,2017-11-24 02:49:08 +0800,2017-11-24 08:00:06 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a982e0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-11-25 08:00:15 +0800,2017-11-25 01:42:04 +0800,2017-11-25 08:00:09 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98380>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-11-26 08:00:20 +0800,2017-11-26 01:56:56 +0800,2017-11-26 08:00:20 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98290>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-11-28 08:00:29 +0800,2017-11-28 00:41:20 +0800,2017-11-28 08:00:29 +0800,HKCategoryValueSleepAnalysisInBed
"健康","11.0",,"SleepAnalysis",,2017-11-29 08:07:42 +0800,2017-11-29 00:50:00 +0800,2017-11-29 08:07:00 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98420>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-11-30 08:00:33 +0800,2017-11-29 21:38:20 +0800,2017-11-29 21:48:04 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a981f0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-11-30 08:00:33 +0800,2017-11-29 21:50:36 +0800,2017-11-29 21:52:56 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98330>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-11-30 08:00:33 +0800,2017-11-29 22:03:36 +0800,2017-11-29 22:04:20 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a984c0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-11-30 08:00:33 +0800,2017-11-29 22:22:36 +0800,2017-11-29 22:24:56 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a983d0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-11-30 08:00:33 +0800,2017-11-29 22:31:48 +0800,2017-11-29 22:33:00 +0800,HKCategoryValueSleepAnalysisInBed
